,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
153,2021-08-19 14:54:00.894955,2021-08-19 14:54:05.966801,0,0,0,0,0,0
154,2021-08-19 14:54:10.696720,2021-08-19 14:54:11.607020,0.0058429999999995985,4.729919,4.724076,4.726795,4.727683,4.729919
155,2021-08-19 14:54:13.068941,2021-08-19 14:54:13.979241,0.005857000000000001,1.461921,1.456064,1.45877,1.460738,1.461921
156,2021-08-19 14:54:09.693972,2021-08-19 14:54:14.889541,0,0,0,0,0,0
157,2021-08-19 14:54:19.144141,2021-08-19 14:54:20.054441,0.0058429999999995985,4.2546,4.248757,4.251476,4.252364,4.2546
158,2021-08-19 14:54:21.981821,2021-08-19 14:54:22.892121,0.005857000000000001,1.92738,1.921523,1.924229,1.926197,1.92738
159,2021-08-19 14:54:18.390558,2021-08-19 14:54:23.802421,0,0,0,0,0,0
160,2021-08-19 14:54:27.944570,2021-08-19 14:54:28.854870,0.0058429999999995985,4.142149,4.136306,4.139025,4.139913,4.142149
161,2021-08-19 14:54:30.819427,2021-08-19 14:54:31.729727,0.005857000000000001,1.964557,1.9587,1.961406,1.963374,1.964557
162,2021-08-19 14:54:27.230430,2021-08-19 14:54:32.640027,0,0,0,0,0,0
163,2021-08-19 14:54:36.755834,2021-08-19 14:54:37.666134,0.005843000000000487,4.115807,4.109964,4.112683,4.113571,4.115807
164,2021-08-19 14:54:39.674380,2021-08-19 14:54:40.584680,0.005857000000000223,2.008246,2.002389,2.005095,2.007063,2.008246
165,2021-08-19 14:54:35.829026,2021-08-19 14:54:41.494980,0,0,0,0,0,0
166,2021-08-19 14:54:45.703180,2021-08-19 14:54:46.613480,0.0058429999999995985,4.2082,4.202357,4.205076,4.205964,4.2082
167,2021-08-19 14:54:48.822619,2021-08-19 14:54:49.732919,0.005856999999999779,2.209139,2.203282,2.205988,2.207956,2.209139
168,2021-08-19 14:54:44.507117,2021-08-19 14:54:50.643219,0,0,0,0,0,0
169,2021-08-19 14:54:54.481869,2021-08-19 14:54:55.392169,0.005843000000000043,3.83865,3.832807,3.835526,3.836414,3.83865
170,2021-08-19 14:54:57.575699,2021-08-19 14:54:58.485999,0.005857000000000223,2.18353,2.177673,2.180379,2.182347,2.18353
171,2021-08-19 14:54:52.963898,2021-08-19 14:54:59.396299,0,0,0,0,0,0
172,2021-08-19 14:55:03.273702,2021-08-19 14:55:04.184002,0.005843000000000043,3.877403,3.87156,3.874279,3.875167,3.877403
173,2021-08-19 14:55:06.350553,2021-08-19 14:55:07.260853,0.005857000000000223,2.166551,2.160694,2.1634,2.165368,2.166551
174,2021-08-19 14:55:01.651538,2021-08-19 14:55:08.171153,0,0,0,0,0,0
175,2021-08-19 14:55:11.869849,2021-08-19 14:55:12.780149,0.005843000000000043,3.698696,3.692853,3.695572,3.69646,3.698696
176,2021-08-19 14:55:15.241996,2021-08-19 14:55:16.152296,0.005857000000000223,2.461847,2.45599,2.458696,2.460664,2.461847
177,2021-08-19 14:55:10.363741,2021-08-19 14:55:17.062596,0,0,0,0,0,0
178,2021-08-19 14:55:20.622373,2021-08-19 14:55:21.532673,0.005843000000000043,3.559777,3.553934,3.556653,3.557541,3.559777
179,2021-08-19 14:55:24.185138,2021-08-19 14:55:25.095438,0.005856999999999779,2.652465,2.646608,2.649314,2.651282,2.652465
180,2021-08-19 14:55:19.010020,2021-08-19 14:55:26.005738,0,0,0,0,0,0
181,2021-08-19 14:55:29.233771,2021-08-19 14:55:30.144071,0.005843000000000043,3.228033,3.22219,3.224909,3.225797,3.228033
